mainlocation,sublocation,neighborhood,frontage,purpose,size,streetwidth,pricepermeter
الرياض,شمال الرياض,حي الصحافة,شرق,سكني,750 ,25 ,3550 
الرياض,شمال الرياض,حي الربيع,شرق,سكني,546 ,15 ,3700 
الرياض,شمال الرياض,حي بنبان,غرب,سكني,384 ,15 ,781 
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,3604 ,15 ,4500 
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,1257 ,15 ,4500 
الرياض,شمال الرياض,حي الياسمين,غرب,سكني,350 ,15 ,3450 
الرياض,شمال الرياض,حي النخيل,شمال غربي,سكني,689 ,12 ,4200 
الرياض,شمال الرياض,حي الياسمين,غرب,غير محدد,750 ,20 ,3800 
الرياض,شمال الرياض,حي الملقا,شمال,تجاري,900 ,36 ,6000 
الرياض,شمال الرياض,حي بنبان,جنوب غربي,سكني,625 ,20 ,1120 
الرياض,شمال الرياض,حي الملقا,شرق,سكني,1050 ,15 ,4500 
الرياض,شمال الرياض,حي الملقا,شمال,سكني,700 ,25 ,4500 
الرياض,شمال الرياض,حي المصيف,3 شوارع,سكني أو تجاري,1690 ,35 ,3700 
الرياض,شمال الرياض,حي العقيق,جنوب غربي,سكني,1175 ,20 ,3500 
الرياض,شمال الرياض,حي الملقا,3 شوارع,تجاري,4856 ,100 ,5000 
الرياض,شمال الرياض,حي بنبان,غرب,سكني,744 ,15 ,565 
الرياض,شمال الرياض,حي الفلاح,غرب,تجاري,1200 ,35 ,4800 
الرياض,شمال الرياض,حي النفل,شمال,سكني,412 ,20 ,4000 
الرياض,شمال الرياض,حي حطين,شرق,سكني,1350 ,60 ,3500 
الرياض,شمال الرياض,حي السليمانية,شمال غربي,سكني,420 ,12 ,3800 
الرياض,شمال الرياض,حي العقيق,جنوب,سكني أو تجاري,1000 ,30 ,3350 
الرياض,شمال الرياض,حي العارض,شمال,سكني,425 ,15 ,2400 
الرياض,شمال الرياض,حي النرجس,شرق,سكني,450 ,15 ,3000 
الرياض,شمال الرياض,حي بنبان,جنوب شرقي,سكني أو تجاري,85000 ,50 ,65 
الرياض,شمال الرياض,حي الصحافة,غرب,سكني أو تجاري,1050 ,100 ,20000 
الرياض,شمال الرياض,حي الملقا,شمال,سكني,914 ,20 ,4500 
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني,755 ,15 ,355 
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,2100 ,20 ,4350 
الرياض,شمال الرياض,حي الملقا,غرب,تجاري,900 ,60 ,8000 
الرياض,شمال الرياض,حي حطين,جنوب,سكني,437 ,15 ,4200 
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,3780 ,15 ,4400 
الرياض,شمال الرياض,حي حطين,شرق,تجاري,3500 ,30 ,4000 
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,6585 ,25 ,3800 
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,تجاري,900 ,30 ,2550 
الرياض,شمال الرياض,حي الملقا,شمال,سكني,750 ,15 ,3600 
