mainlocation,sublocation,neighborhood,frontage,purpose,size,streetwidth,pricepermeter
الرياض,غرب الرياض,حي عرقة,3 شوارع,تجاري,2220 ,20 ,3550 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,900 ,25 ,4200 
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,450 ,15 ,2500 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,583 ,15 ,4600 
الرياض,شمال الرياض,حي الصحافة,4 شوارع,سكني,8480 ,15 ,3450 
الرياض,شمال الرياض,حي الياسمين,3 شوارع,تجاري,2500 ,36 ,3500 
الرياض,شمال الرياض,حي حطين,شرق,سكني,875 ,15 ,3600 
الرياض,شرق الرياض,حي الروضة,3 شوارع,تجاري,13000 ,80 ,3300 
الرياض,شمال الرياض,حي الياسمين,جنوب شرقي,سكني,1456 ,20 ,4000 
الرياض,غرب الرياض,حي ظهرة لبن,شرق,سكني أو تجاري,900 ,40 ,1300 
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,سكني,750 ,18 ,4500 
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,460 ,18 ,2800 
الرياض,غرب الرياض,حي الحزم,شرق,سكني أو تجاري,1612 ,40 ,1500 
الرياض,جنوب الرياض,حي عريض,غرب,غير محدد,400 ,15 ,550 
الرياض,شرق الرياض,حي النهضة,جنوب,سكني,388 ,15 ,2400 
الرياض,شمال الرياض,حي السليمانية,جنوب غربي,سكني,550 ,15 ,3600 
الرياض,شمال الرياض,حي الياسمين,شمال غربي,سكني,375 ,15 ,3800 
الرياض,شمال الرياض,حي الوادي,جنوب,سكني,621 ,15 ,2800 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,2912 ,20 ,3800 
الرياض,شمال الرياض,حي العقيق,3 شوارع,سكني,9000 ,20 ,4000 
الرياض,شمال الرياض,حي السليمانية,جنوب غربي,سكني,550 ,15 ,3600 
الرياض,شمال الرياض,حي الملقا,شرق,سكني,450 ,15 ,3400 
الرياض,شرق الرياض,حي الحمراء,شرق,سكني,750 ,15 ,3335 
الرياض,شمال الرياض,حي القيروان,شمال غربي,سكني,645 ,15 ,3300 
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,غير محدد,1050 ,25 ,4500 
الرياض,شمال الرياض,حي الندى,4 شوارع,سكني,300 ,18 ,3700 
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,800 ,12 ,2200 
الرياض,شمال الرياض,حي الياسمين,غرب,سكني,375 ,20 ,4000 
الرياض,شمال الرياض,حي الياسمين,شمال غربي,سكني,375 ,15 ,3300 
الرياض,غرب الرياض,حي الحزم,شمال,سكني أو تجاري,1417 ,40 ,2000 
الرياض,شرق الرياض,حي الرمال,جنوب,سكني,600 ,15 ,1450 
الرياض,شمال الرياض,حي النخيل,غرب,سكني,552 ,12 ,4500 
الرياض,شمال الرياض,حي بنبان,4 شوارع,غير محدد,8780 ,25 ,813 
الرياض,شمال الرياض,حي بنبان,شرق,سكني,420 ,15 ,700 
الرياض,شمال الرياض,حي الملقا,شرق,سكني أو تجاري,2385 ,36 ,4100 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,900 ,25 ,4200 
الرياض,شمال الرياض,حي النرجس,غرب,سكني,312 ,15 ,3000 
الرياض,غرب الرياض,حي الرائد,شرق,سكني,1400 ,20 ,4000 
الرياض,شمال الرياض,حي حطين,شرق,سكني,2565 ,15 ,3700 
الرياض,شمال الرياض,حي الملقا,غرب,سكني,900 ,19 ,4000 
الرياض,شمال الرياض,حي المعذر الشمالي,3 شوارع,سكني,3360 ,20 ,3250 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,875 ,15 ,3500 
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني,1800 ,15 ,3000 
الرياض,شمال الرياض,حي الملقا,شرق,غير محدد,875 ,25 ,4400 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني أو تجاري,975 ,36 ,5000 
الرياض,شرق الرياض,حي غرناطة,جنوب,تجاري,875 ,35 ,3000 
الرياض,شمال الرياض,حي بنبان,4 شوارع,غير محدد,8780 ,25 ,813 
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,3780 ,15 ,4500 
الرياض,جنوب الرياض,حي عريض,جنوب,غير محدد,408 ,15 ,490 
الرياض,غرب الرياض,حي لبن,شمال,تجاري,400 ,30 ,2800 
الرياض,شمال الرياض,حي العليا,4 شوارع,تجاري,8791 ,100 ,140000 
الرياض,شمال الرياض,حي حطين,شرق,سكني,1350 ,60 ,3800 
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,سكني,1755 ,20 ,3400 
الرياض,شمال الرياض,حي الندى,شمال,غير محدد,325 ,12 ,3800 
الرياض,غرب الرياض,حي المهدية,جنوب,سكني,450 ,15 ,2000 
الرياض,شمال الرياض,حي الملقا,4 شوارع,غير محدد,3800 ,5 ,6585 
الرياض,شمال الرياض,حي بنبان,4 شوارع,غير محدد,8780 ,25 ,813 
الرياض,شمال الرياض,حي العليا,3 شوارع,سكني,2984 ,15 ,2900 
الرياض,شمال الرياض,حي بنبان,4 شوارع,غير محدد,8780 ,25 ,813 
الرياض,شمال الرياض,حي الملقا,غرب,سكني,443 ,17 ,4000 
الرياض,شمال الرياض,حي العقيق,جنوب,سكني,750 ,15 ,4400 
الرياض,شمال الرياض,حي الصحافة,3 شوارع,سكني,3620 ,15 ,3600 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,900 ,20 ,4200 
الرياض,شمال الرياض,حي الفلاح,شمال,سكني,1120 ,20 ,3700 
الرياض,شمال الرياض,حي القيروان,غرب,سكني,300 ,15 ,3800 
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,525 ,20 ,4300 
الرياض,جنوب الرياض,حي عريض,جنوب,غير محدد,408 ,15 ,490 
الرياض,شمال الرياض,حي النفل,شمال,غير محدد,1500 ,36 ,4500 
الرياض,شمال الرياض,حي حطين,شرق,سكني,700 ,28 ,4000 
الرياض,جنوب الرياض,حي بدر,3 شوارع,سكني,925 ,غير محدد,1250 
الرياض,شمال الرياض,حي الفلاح,شمال,سكني,600 ,20 ,3800 
الرياض,شرق الرياض,حي قرطبة,شمال شرقي,سكني أو تجاري,3797 ,35 ,3200 
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,سكني,3900 ,17 ,4500 
الرياض,شمال الرياض,حي بنبان,3 شوارع,غير محدد,1620 ,غير محدد,803 
الرياض,شمال الرياض,حي الوادي,شمال,سكني,325 ,15 ,3200 
الرياض,شمال الرياض,حي الفلاح,غرب,تجاري,2340 ,80 ,9000 
الرياض,شرق الرياض,حي الشرق,شرق,تجاري,845 ,40 ,1600 
الرياض,شمال الرياض,حي حطين,4 شوارع,سكني أو تجاري,6632 ,20 ,4000 
